"model","bias_level","mean_delta_PR_gap","mean_delta_TPR_gap","mean_delta_Error_gap","sd_delta_PR_gap","sd_delta_TPR_gap","sd_delta_Error_gap"
"logistic_regression","mild",0.005,0.009,-0.002,0.016,0.021,0.012
"logistic_regression","moderate",0.01,0.012,-0.001,0.016,0.021,0.011
"logistic_regression","severe",0.015,0.022,0.001,0.018,0.028,0.018
"decision_tree","mild",0.032,0.028,0.005,0.069,0.067,0.019
"decision_tree","moderate",0.022,0.02,0,0.063,0.074,0.019
"decision_tree","severe",0.046,0.05,0.002,0.084,0.085,0.024
"random_forest","mild",0.003,0,-0.003,0.035,0.045,0.017
"random_forest","moderate",0.005,0.012,-0.002,0.038,0.045,0.012
"random_forest","severe",0.013,0.015,-0.005,0.04,0.052,0.015
