"model","bias_level","mean_delta_PR_gap","mean_delta_TPR_gap","mean_delta_Error_gap","sd_delta_PR_gap","sd_delta_TPR_gap","sd_delta_Error_gap"
"logistic_regression","mild",0.0052,0.00945720919569662,-0.00186666666666666,0.0164052136372179,0.0212289123524499,0.0120451258802581
"logistic_regression","moderate",0.00999999999999998,0.012450513209215,-0.00053333333333333,0.0162819976746056,0.0210844431039044,0.0113250815124823
"logistic_regression","severe",0.015,0.0219305508034362,0.00100000000000001,0.0176693773674039,0.0276374247666281,0.0177317171504468
"decision_tree","mild",0.0318666666666667,0.0280066647208825,0.00546666666666668,0.0690545677948486,0.0670759662132787,0.019383130477981
"decision_tree","moderate",0.0223333333333333,0.0204782740883558,0.000200000000000006,0.0625527823099232,0.074396418781605,0.0187936159373336
"decision_tree","severe",0.0464,0.0497482224542978,0.00186666666666667,0.0838823478203971,0.0854128230605301,0.0237976140985102
"random_forest","mild",0.00333333333333332,0.000150311359991382,-0.0032,0.0350185500924112,0.0454790444016498,0.017169339151422
"random_forest","moderate",0.00459999999999998,0.011629546892978,-0.00206666666666667,0.0380966104022121,0.0447516165308309,0.0121879910746924
"random_forest","severe",0.0129333333333333,0.0149574223233387,-0.00533333333333333,0.0397639009164337,0.0522948720058658,0.0145964883196051
