"Model","Metric","Cross-seed mean pattern","Cross-seed support"
"Logistic Regression","PR gap","Increasing","Strong"
"Logistic Regression","TPR gap","Increasing","Strong"
"Logistic Regression","Error gap","Weak or non-monotonic increase","Limited"
"Decision Tree","PR gap","Mostly above balanced but non-monotonic","Partial"
"Decision Tree","TPR gap","Mostly above balanced but non-monotonic","Partial"
"Decision Tree","Error gap","Mostly above balanced but non-monotonic","Partial"
"Random Forest","PR gap","Increasing","Strong"
"Random Forest","TPR gap","Increasing","Strong"
"Random Forest","Error gap","Non-monotonic / no increasing trend","Limited"
