"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
6,"simulated","decision_tree","mild",0.663,0.337,0.102,0.117276006164895,0.022
6,"simulated","decision_tree","moderate",0.654,0.346,0.136,0.122455789122456,0.004
6,"simulated","decision_tree","severe",0.631,0.369,0.206,0.200438533771867,0.00600000000000001
6,"simulated","random_forest","balanced",0.669,0.331,0.11,0.0614900614900614,0.038
6,"simulated","random_forest","mild",0.678,0.322,0.104,0.0717542939765162,0.024
6,"simulated","random_forest","moderate",0.683,0.317,0.098,0.0753610753610754,0.014
6,"simulated","random_forest","severe",0.68,0.32,0.144,0.0967475411919857,0.036
7,"simulated","logistic_regression","balanced",0.69,0.31,0.128,0.111467850738622,0.016
7,"simulated","logistic_regression","mild",0.693,0.307,0.15,0.14840748014687,0.002
7,"simulated","logistic_regression","moderate",0.688,0.312,0.128,0.111570318503971,0.016
7,"simulated","logistic_regression","severe",0.68,0.32,0.136,0.124532490820596,0.012
7,"simulated","decision_tree","balanced",0.678,0.322,0.056,0.0632909230637861,0.012
7,"simulated","decision_tree","mild",0.655,0.345,0.198,0.198001878575698,0.002
7,"simulated","decision_tree","moderate",0.669,0.331,0.106,0.0867560413286653,0.014
7,"simulated","decision_tree","severe",0.677,0.323,0.0619999999999999,0.0720689949620016,0.014
7,"simulated","random_forest","balanced",0.69,0.31,0.14,0.131466142942533,0.00800000000000001
7,"simulated","random_forest","mild",0.683,0.317,0.146,0.102792246605755,0.042
7,"simulated","random_forest","moderate",0.688,0.312,0.108,0.10238237554436,0.004
7,"simulated","random_forest","severe",0.691,0.309,0.17,0.17687644095295,0.00600000000000001
8,"simulated","logistic_regression","balanced",0.689,0.311,0.116,0.101187111362352,0.002
8,"simulated","logistic_regression","mild",0.691,0.309,0.116,0.0976226367690473,0.00600000000000001
8,"simulated","logistic_regression","moderate",0.691,0.309,0.128,0.106353244142956,0.01
8,"simulated","logistic_regression","severe",0.697,0.303,0.128,0.119716098235035,0.002
8,"simulated","decision_tree","balanced",0.663,0.337,0.08,0.0721374285534828,0.002
8,"simulated","decision_tree","mild",0.671,0.329,0.164,0.117941712204007,0.03
8,"simulated","decision_tree","moderate",0.67,0.33,0.138,0.13271779410841,0
8,"simulated","decision_tree","severe",0.668,0.332,0.166,0.128902079015137,0.02
8,"simulated","random_forest","balanced",0.674,0.326,0.102,0.0639407072420074,0.028
8,"simulated","random_forest","mild",0.67,0.33,0.146,0.148671565856416,0.012
8,"simulated","random_forest","moderate",0.681,0.319,0.136,0.135575654795553,0.01
8,"simulated","random_forest","severe",0.687,0.313,0.172,0.158831103573896,0.002
9,"simulated","logistic_regression","balanced",0.679,0.321,0.098,0.0695814449480139,0.026
9,"simulated","logistic_regression","mild",0.676,0.324,0.128,0.102539322847241,0.024
9,"simulated","logistic_regression","moderate",0.678,0.322,0.128,0.111203679018928,0.016
9,"simulated","logistic_regression","severe",0.676,0.324,0.14,0.119468141828846,0.02
9,"simulated","decision_tree","balanced",0.662,0.338,0.052,0.118001866169022,0.06
9,"simulated","decision_tree","mild",0.66,0.34,0.148,0.0987070114636096,0.048
9,"simulated","decision_tree","moderate",0.67,0.33,0.172,0.139129565449214,0.032
9,"simulated","decision_tree","severe",0.67,0.33,0.224,0.241735537190083,0.016
9,"simulated","random_forest","balanced",0.676,0.324,0.084,0.0457877899226873,0.036
9,"simulated","random_forest","mild",0.663,0.337,0.15,0.0985070647827246,0.05
9,"simulated","random_forest","moderate",0.654,0.346,0.164,0.116435617168755,0.048
9,"simulated","random_forest","severe",0.663,0.337,0.166,0.112203412423354,0.054
10,"simulated","logistic_regression","balanced",0.694,0.306,0.138,0.135379771743408,0.004
10,"simulated","logistic_regression","mild",0.696,0.304,0.126,0.135182998819362,0.00800000000000001
10,"simulated","logistic_regression","moderate",0.687,0.313,0.148,0.156434474616293,0.00600000000000001
10,"simulated","logistic_regression","severe",0.685,0.315,0.164,0.162731208185754,0.00600000000000001
10,"simulated","decision_tree","balanced",0.664,0.336,0.138,0.158598976780795,0.02
10,"simulated","decision_tree","mild",0.681,0.319,0.088,0.081267217630854,0.00600000000000001
10,"simulated","decision_tree","moderate",0.69,0.31,0.026,0.0224321133412042,0.004
10,"simulated","decision_tree","severe",0.656,0.344,0.21,0.223140495867769,0.00799999999999995
10,"simulated","random_forest","balanced",0.678,0.322,0.138,0.141676505312869,0
10,"simulated","random_forest","mild",0.683,0.317,0.104,0.0844155844155844,0.018
10,"simulated","random_forest","moderate",0.692,0.308,0.158,0.155844155844156,0.004
10,"simulated","random_forest","severe",0.677,0.323,0.156,0.158205430932704,0.002
11,"simulated","logistic_regression","balanced",0.66,0.34,0.116,0.129350863821138,0.00799999999999995
11,"simulated","logistic_regression","mild",0.658,0.342,0.092,0.10448424796748,0.00799999999999995
