"model","metric","cross_seed_pattern","cross_seed_support","model_label"
"logistic_regression","PR gap","Increasing","Strong","Logistic Regression"
"logistic_regression","TPR gap","Increasing","Strong","Logistic Regression"
"logistic_regression","Error gap","Weak or non-monotonic increase","Limited","Logistic Regression"
"decision_tree","PR gap","Mostly above balanced but non-monotonic","Partial","Decision Tree"
"decision_tree","TPR gap","Mostly above balanced but non-monotonic","Partial","Decision Tree"
"decision_tree","Error gap","Mostly above balanced but non-monotonic","Partial","Decision Tree"
"random_forest","PR gap","Increasing","Strong","Random Forest"
"random_forest","TPR gap","Increasing","Strong","Random Forest"
"random_forest","Error gap","Non-monotonic / no increasing trend","Limited","Random Forest"
