"model","mean_accuracy","sd_accuracy","mean_PR_gap","sd_PR_gap","mean_TPR_gap","sd_TPR_gap","mean_Error_gap","sd_Error_gap"
"logistic_regression",0.681466666666667,0.0130059226119682,0.1008,0.0295604582111843,0.0970211562421563,0.0384146764590884,0.0186666666666667,0.0202490243840474
"decision_tree",0.6607,0.0159981679985661,0.0918,0.063178673835292,0.0954247598031197,0.0666752349259776,0.0207333333333333,0.0189989715390131
"random_forest",0.6732,0.0158166215495402,0.115733333333333,0.0327360745159319,0.11485495357409,0.0458876131072543,0.0234666666666667,0.0174824706952191
