"Model","Metric","Single-seed pattern","Single-seed support","Cross-seed mean pattern","Cross-seed support","Consistency"
"Logistic Regression","PR gap","Mostly above balanced but non-monotonic","Partial","Increasing","Strong","Partially consistent"
"Logistic Regression","TPR gap","Mostly above balanced but non-monotonic","Partial","Increasing","Strong","Partially consistent"
"Logistic Regression","Error gap","Increasing","Strong","Weak or non-monotonic increase","Limited","Not consistent"
"Decision Tree","PR gap","Increasing","Strong","Mostly above balanced but non-monotonic","Partial","Partially consistent"
"Decision Tree","TPR gap","Increasing","Strong","Mostly above balanced but non-monotonic","Partial","Partially consistent"
"Decision Tree","Error gap","Stable or flat until later increase","Partial","Mostly above balanced but non-monotonic","Partial","Consistent"
"Random Forest","PR gap","Mostly above balanced but non-monotonic","Partial","Increasing","Strong","Partially consistent"
"Random Forest","TPR gap","Mostly above balanced but non-monotonic","Partial","Increasing","Strong","Partially consistent"
"Random Forest","Error gap","Mostly above balanced but non-monotonic","Partial","Non-monotonic / no increasing trend","Limited","Partially consistent"
