"seed","model","bias_level","delta_accuracy","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
8,"random_forest","moderate",0.00700000000000001,0.034,0.0716349475535457,-0.018
8,"random_forest","severe",0.013,0.07,0.0948903963318887,-0.026
9,"logistic_regression","mild",-0.003,0.03,0.0329578778992269,-0.002
9,"logistic_regression","moderate",-0.001,0.03,0.0416222340709144,-0.01
9,"logistic_regression","severe",-0.003,0.042,0.0498866968808317,-0.00600000000000001
9,"decision_tree","mild",-0.002,0.096,-0.0192948547054119,-0.012
9,"decision_tree","moderate",0.00800000000000001,0.12,0.0211276992801921,-0.028
9,"decision_tree","severe",0.00800000000000001,0.172,0.123733671021061,-0.044
9,"random_forest","mild",-0.013,0.066,0.0527192748600374,0.014
9,"random_forest","moderate",-0.022,0.08,0.0706478272460677,0.012
9,"random_forest","severe",-0.013,0.082,0.0664156225006665,0.018
10,"logistic_regression","mild",0.002,-0.012,-0.00019677292404563,0.004
10,"logistic_regression","moderate",-0.0069999999999999,0.01,0.0210547028728847,0.002
10,"logistic_regression","severe",-0.0089999999999999,0.026,0.0273514364423455,0.002
10,"decision_tree","mild",0.017,-0.05,-0.0773317591499409,-0.014
10,"decision_tree","moderate",0.0259999999999999,-0.112,-0.136166863439591,-0.016
10,"decision_tree","severe",-0.00800000000000001,0.072,0.0645415190869737,-0.012
10,"random_forest","mild",0.005,-0.034,-0.0572609208972846,0.018
10,"random_forest","moderate",0.0139999999999999,0.0200000000000001,0.0141676505312869,0.004
10,"random_forest","severe",-0.001,0.018,0.0165289256198347,0.002
11,"logistic_regression","mild",-0.002,-0.024,-0.0248666158536586,0
11,"logistic_regression","moderate",-0.001,-0.002,-0.000793953252032575,0.002
11,"logistic_regression","severe",-0.00900000000000001,0.00199999999999995,-0.0106707317073171,-0.00599999999999995
11,"decision_tree","mild",-0.01,-0.1,-0.056592987804878,-0.044
11,"decision_tree","moderate",-0.03,0.012,0.10302337398374,-0.02
11,"decision_tree","severe",-0.013,-0.022,-0.00644690040650409,-0.018
11,"random_forest","mild",0.00600000000000001,-0.024,-0.0393800813008131,-0.016
11,"random_forest","moderate",0.004,-0.028,-0.0276613313008131,0
11,"random_forest","severe",0.004,-0.064,-0.102991615853659,-0.04
12,"logistic_regression","mild",-0.00600000000000001,0,0.00038122963887155,-0.004
12,"logistic_regression","moderate",0,-0.016,-0.0138975531988632,-0.004
12,"logistic_regression","severe",0,0.028,0.0269633326401886,-0.004
12,"decision_tree","mild",0.018,0.0600000000000001,0.0679975046787274,-0.012
12,"decision_tree","moderate",-0.00600000000000001,0.128,0.132667914327303,-0.012
12,"decision_tree","severe",0.015,0.0660000000000001,0.071931101407084,-0.018
12,"random_forest","mild",-0.00600000000000001,0.00799999999999995,-0.0186802523047064,0.02
12,"random_forest","moderate",-0.00800000000000001,0.016,0.0115062036459416,0.004
12,"random_forest","severe",-0.00700000000000001,0.066,0.0590905940250919,-0.002
13,"logistic_regression","mild",0.00499999999999989,0.014,0.0219983552631579,-0.01
13,"logistic_regression","moderate",0.00299999999999989,0.022,0.0136376096491228,0.01
13,"logistic_regression","severe",0.00199999999999989,0.00799999999999995,0.00191885964912275,0.00800000000000001
13,"decision_tree","mild",-0.001,0.0340000000000001,0.0436540570175439,0.00600000000000001
13,"decision_tree","moderate",-0.051,0.0460000000000001,0.0710663377192983,0.014
13,"decision_tree","severe",-0.001,0.05,0.0643503289473685,-0.01
13,"random_forest","mild",0.003,0.002,0.00733278508771928,-0.00600000000000001
13,"random_forest","moderate",0.002,0.032,0.0384457236842105,0
13,"random_forest","severe",0.0169999999999999,-0.03,-0.0365953947368421,0.00600000000000001
14,"logistic_regression","mild",0.004,0.028,0.013309931256399,0.016
14,"logistic_regression","moderate",0.003,0.022,0.00387596899224807,0.018
14,"logistic_regression","severe",0.005,0.022,0.0127980108234605,0.014
14,"decision_tree","mild",0.00700000000000001,-0.022,-0.013309931256399,0.01
14,"decision_tree","moderate",-0.022,-0.032,-0.0513748720198918,0.00800000000000001
14,"decision_tree","severe",0.002,-0.148,-0.107686119643118,0.036
14,"random_forest","mild",0.00600000000000001,0.00399999999999995,-0.00504607283896441,0.004
14,"random_forest","moderate",-0.001,0.0139999999999999,0.0210618692408951,-0.002
14,"random_forest","severe",0.003,-0.00600000000000001,0.00117010384671645,-0.002
15,"logistic_regression","mild",-0.013,0.018,0.0401871935819343,-0.022
15,"logistic_regression","moderate",-0.013,0.03,0.0524884861090477,-0.022
15,"logistic_regression","severe",-0.013,0.034,0.06068934779379,-0.026
15,"decision_tree","mild",0.005,0.026,0.0656217501114248,-0.022
15,"decision_tree","moderate",0.016,0.024,0.0610310503639876,-0.024
15,"decision_tree","severe",0.00600000000000001,0.00800000000000001,0.0380626949933145,-0.032
15,"random_forest","mild",0.002,-0.012,0.0155846085277076,-0.012
15,"random_forest","moderate",-0.005,-0.018,0.0113058980834943,-0.014
15,"random_forest","severe",-0.00800000000000001,0.028,0.0569157628881296,-0.012
16,"logistic_regression","mild",0.005,0.022,0.0377480586712683,-0.014
16,"logistic_regression","moderate",0.00700000000000001,0.00600000000000001,0.0286885245901639,-0.022
16,"logistic_regression","severe",0.002,0.012,0.0316364682197295,-0.02
16,"decision_tree","mild",0.003,-0.034,-0.0230083405234397,0.018
