"dataset","model","bias_level","variable","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"Adult","Random Forest","balanced","age",24.7006922545594,86.302421370424,76.6303122011327,977.280908266678
"Adult","Random Forest","balanced","capital_gain",186.839559591081,215.027067945238,234.459928719298,899.468265436952
"Adult","Random Forest","balanced","occupation",18.6839786832701,54.5154565601317,62.1931407076309,662.192949505447
"Adult","Random Forest","balanced","education_num",31.9474248101234,80.7429718494969,79.5866329895443,610.298349136
"Adult","Random Forest","balanced","hours_per_week",12.546579406208,65.7234131843637,56.0680436026174,574.422522397753
"Adult","Random Forest","balanced","capital_loss",74.9711878847495,116.926540584593,107.611265453828,323.186023811632
"Adult","Random Forest","balanced","workclass",36.6064723160009,0.0590832367286575,37.8586149941872,256.255092695136
"Adult","Random Forest","mild","age",34.2137713002585,98.7804260469028,94.8213660230529,1037.61486046827
"Adult","Random Forest","mild","capital_gain",182.527274608491,202.284188726347,220.573151418574,964.72023706339
"Adult","Random Forest","mild","education_num",35.205259950935,90.4451341366709,87.6162019625931,673.349085172707
"Adult","Random Forest","mild","occupation",13.1564082673377,55.1068647047512,59.5858366197528,636.218975749199
"Adult","Random Forest","mild","hours_per_week",16.9071038682435,62.9954035823081,56.0924463651932,578.824428509597
"Adult","Random Forest","mild","capital_loss",75.3155467972752,104.979462704547,106.030238783811,323.226848167479
"Adult","Random Forest","mild","workclass",39.9996166709803,5.48891732506509,42.1784550263418,269.073959452694
"Adult","Random Forest","moderate","age",49.8088068472458,117.259081130941,116.177333571402,1173.78375660709
"Adult","Random Forest","moderate","capital_gain",189.792608929279,189.390849216024,224.189283203336,984.717865807261
"Adult","Random Forest","moderate","education_num",35.8830000140234,119.11467894868,112.39426586632,810.601860589971
"Adult","Random Forest","moderate","occupation",10.7101107697934,74.2647932489864,73.4657012644614,730.176018882101
"Adult","Random Forest","moderate","hours_per_week",19.9311783734084,58.3786326638261,57.5310639746482,625.339705214672
"Adult","Random Forest","moderate","capital_loss",64.5148774629491,99.58588736366,90.7832659995789,332.412018699708
"Adult","Random Forest","moderate","workclass",41.0862786225985,1.80124124479927,38.5958405585233,286.748601444004
"Adult","Random Forest","severe","age",46.9509496158279,121.707692085226,114.488290570871,1261.91104200435
"Adult","Random Forest","severe","capital_gain",193.942308515257,185.945691912455,223.993241759795,1002.75890283353
"Adult","Random Forest","severe","occupation",17.3481264369531,75.9996649800055,84.2232147081064,844.469924973731
"Adult","Random Forest","severe","education_num",30.8368522940839,112.214197946851,107.558840913728,842.38105675144
"Adult","Random Forest","severe","hours_per_week",21.7976971259955,64.2295907453331,61.2609733973806,656.251925847836
"Adult","Random Forest","severe","capital_loss",76.9911113245961,92.9147372321641,97.1331766012771,392.669010813544
"Adult","Random Forest","severe","workclass",34.1979620225099,7.95113541950005,36.9234698885962,294.882122095629
