"dataset","model","bias_level","mtry","ntree","oob_error","accuracy","error_rate","PR_gap","TPR_gap","Error_gap","delta_PR_gap","delta_TPR_gap","delta_Error_gap"
"simulated","random_forest","balanced",2,500,0.37325,0.599,0.401,0.074,0.039156241439138,0.038,0,0,0
"simulated","random_forest","mild",2,500,0.381,0.607,0.393,0.094,0.0821842754086384,0.018,0.02,0.0430280339695004,-0.02
"simulated","random_forest","moderate",2,500,0.3695,0.634,0.366,0.012,0.0177700666605789,0.004,-0.062,-0.0213861747785591,-0.034
"simulated","random_forest","severe",2,500,0.36825,0.612,0.388,0.052,0.0518491461966943,0.004,-0.022,0.0126929047575564,-0.034
"simulated","random_forest","balanced",3,500,0.373,0.61,0.39,0.08,0.0392658204730161,0.044,0,0,0
"simulated","random_forest","mild",3,500,0.38675,0.599,0.401,0.078,0.0692722125833257,0.014,-0.002,0.0300063921103096,-0.03
"simulated","random_forest","moderate",3,500,0.3745,0.629,0.371,0.022,0.0220984384987671,0.002,-0.058,-0.0171673819742489,-0.042
"simulated","random_forest","severe",3,500,0.3705,0.614,0.386,0.056,0.0518126198520683,0.00800000000000001,-0.024,0.0125467993790522,-0.036
