"dataset","model","n_seeds","mean_accuracy","sd_accuracy","mean_error_rate","sd_error_rate","mean_PR_gap","sd_PR_gap","mean_TPR_gap","sd_TPR_gap","mean_Error_gap","sd_Error_gap"
"Simulated","Logistic Regression",30,0.681,0.013,0.319,0.013,0.101,0.03,0.097,0.038,0.019,0.02
"Simulated","Decision Tree",30,0.661,0.016,0.339,0.016,0.092,0.063,0.095,0.067,0.021,0.019
"Simulated","Random Forest",30,0.673,0.016,0.327,0.016,0.116,0.033,0.115,0.046,0.023,0.017
"Adult","Logistic Regression",30,0.834,0.005,0.166,0.005,0.089,0.008,0.056,0.028,0.122,0.007
"Adult","Decision Tree",30,0.848,0.005,0.152,0.005,0.091,0.009,0.059,0.026,0.114,0.013
"Adult","Random Forest",30,0.85,0.004,0.15,0.004,0.102,0.007,0.064,0.022,0.105,0.006
