"model","bias_level","n_seeds","mean_delta_accuracy","sd_delta_accuracy","mean_delta_error_rate","sd_delta_error_rate","mean_delta_PR_gap","sd_delta_PR_gap","mean_delta_TPR_gap","sd_delta_TPR_gap","mean_delta_Error_gap","sd_delta_Error_gap"
"Logistic Regression","mild",30,-4e-04,0.002,4e-04,0.002,0.0039,0.0038,0.0029,0.0124,-0.0081,0.004
"Logistic Regression","moderate",30,-0.0018,0.0027,0.0018,0.0027,0.0073,0.0054,-0.0037,0.0164,-0.0175,0.0044
"Logistic Regression","severe",30,-0.005,0.0042,0.005,0.0042,0.0097,0.0073,-0.0054,0.0195,-0.0316,0.006
"Decision Tree","mild",30,5e-04,0.0031,-5e-04,0.0031,0.0057,0.0101,5e-04,0.0251,-0.009,0.012
"Decision Tree","moderate",30,-0.0031,0.0041,0.0031,0.0041,0.0068,0.0097,-0.0053,0.0217,-0.0206,0.013
"Decision Tree","severe",30,-0.0055,0.004,0.0055,0.004,0.0045,0.0113,-0.01,0.0284,-0.0336,0.0151
"Random Forest","mild",30,-0.0013,0.0035,0.0013,0.0035,0.0035,0.0064,0.0078,0.0181,-0.0088,0.0065
"Random Forest","moderate",30,-0.0042,0.004,0.0042,0.004,0.0076,0.0073,0.0116,0.0138,-0.0251,0.0064
"Random Forest","severe",30,-0.009,0.0038,0.009,0.0038,0.0043,0.0064,0.0073,0.0198,-0.0408,0.0087
