"model","metric","pattern_across_bias_levels","supports_increasing_trend","model_label"
"logistic_regression","PR gap","Mostly above balanced but non-monotonic","Partial","Logistic Regression"
"logistic_regression","TPR gap","Mostly above balanced but non-monotonic","Partial","Logistic Regression"
"logistic_regression","Error gap","Increasing","Strong","Logistic Regression"
"decision_tree","PR gap","Increasing","Strong","Decision Tree"
"decision_tree","TPR gap","Increasing","Strong","Decision Tree"
"decision_tree","Error gap","Stable or flat until later increase","Partial","Decision Tree"
"random_forest","PR gap","Mostly above balanced but non-monotonic","Partial","Random Forest"
"random_forest","TPR gap","Mostly above balanced but non-monotonic","Partial","Random Forest"
"random_forest","Error gap","Mostly above balanced but non-monotonic","Partial","Random Forest"
