"Model","Metric","Pattern across bias levels","Supports increasing trend?"
"Logistic Regression","PR gap","Mostly above balanced but non-monotonic","Partial"
"Logistic Regression","TPR gap","Mostly above balanced but non-monotonic","Partial"
"Logistic Regression","Error gap","Increasing","Strong"
"Decision Tree","PR gap","Increasing","Strong"
"Decision Tree","TPR gap","Increasing","Strong"
"Decision Tree","Error gap","Stable or flat until later increase","Partial"
"Random Forest","PR gap","Mostly above balanced but non-monotonic","Partial"
"Random Forest","TPR gap","Mostly above balanced but non-monotonic","Partial"
"Random Forest","Error gap","Mostly above balanced but non-monotonic","Partial"
